1,1,2023-12-18 02:42:04.207,INSERT,New Animal Added,DESKTOP-ONMHVUI\Saleha
2,1,2023-12-18 02:45:25.953,INSERT,New Animal Added,DESKTOP-ONMHVUI\Saleha
3,1,2023-12-18 02:45:25.970,INSERT,New Animal: 1,DESKTOP-ONMHVUI\Saleha
4,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
5,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
6,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
7,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
8,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
9,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
10,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
11,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
12,1,2023-12-18 02:45:32.460,UPDATE,"Old Animal: 1, New Animal: 1",DESKTOP-ONMHVUI\Saleha
13,1,2023-12-18 02:45:37.087,DELETE,Old Animal: 1,DESKTOP-ONMHVUI\Saleha
14,1,2023-12-18 02:45:37.087,DELETE,Old Animal: 1,DESKTOP-ONMHVUI\Saleha
15,1,2023-12-18 02:45:37.087,DELETE,Old Animal: 1,DESKTOP-ONMHVUI\Saleha
16,1,2023-12-18 11:34:50.837,INSERT,New Animal Added,DESKTOP-ONMHVUI\Saleha
17,1,2023-12-18 11:34:50.860,INSERT,New Animal: 1,DESKTOP-ONMHVUI\Saleha
